entity_id,name,source_review_status,medical_review_status,deprecated,source_status,human_review_status,content_tier
NEUR-LAB-001,Albuminocytologic dissociation supporting peripheral demyelination context,source_checked,needs_medical_review,false,partially_source_supported,not_requested,index
NEUR-LAB-002,Oligoclonal bands supporting CNS inflammatory context,source_checked,needs_medical_review,false,partially_source_supported,not_requested,index
NEUR-LAB-003,Xanthochromia after appropriate hemorrhage evaluation,source_checked,needs_medical_review,false,partially_source_supported,not_requested,index
NEUR-LAB-004,CSF low glucose in selected infectious patterns,source_checked,needs_medical_review,false,partially_source_supported,not_requested,index
NEUR-LAB-005,Elevated CK in muscle-injury context,source_checked,needs_medical_review,false,partially_source_supported,not_requested,index
NEUR-LAB-006,Acetylcholine receptor antibody positivity in myasthenia context,source_checked,needs_medical_review,false,partially_source_supported,not_requested,index
REN-LABORATORY_FINDINGS-001,Rising serum creatinine,source_checked,needs_medical_review,false,partially_source_supported,not_requested,index
REN-LABORATORY_FINDINGS-002,Active urine sediment,source_checked,needs_medical_review,false,partially_source_supported,not_requested,index
REN-LABORATORY_FINDINGS-003,Dysmorphic erythrocytes,source_checked,needs_medical_review,false,partially_source_supported,not_requested,index
REN-LABORATORY_FINDINGS-004,Red-cell casts,source_checked,needs_medical_review,false,partially_source_supported,not_requested,index
REN-LABORATORY_FINDINGS-005,Proteinuria,source_checked,needs_medical_review,false,partially_source_supported,not_requested,index
REN-LABORATORY_FINDINGS-006,Hyperkalemia,source_checked,needs_medical_review,false,partially_source_supported,not_requested,index
REN-LABORATORY_FINDINGS-007,High anion gap,source_checked,needs_medical_review,false,partially_source_supported,not_requested,index
REN-LABORATORY_FINDINGS-008,Low serum bicarbonate,source_checked,needs_medical_review,false,partially_source_supported,not_requested,index
MSK-LABORATORY_FINDINGS-001,Erythrocyte sedimentation rate,source_checked,needs_medical_review,false,partially_source_supported,not_requested,index
MSK-LABORATORY_FINDINGS-002,C-reactive protein,source_checked,needs_medical_review,false,partially_source_supported,not_requested,index
MSK-LABORATORY_FINDINGS-003,Creatine kinase,source_checked,needs_medical_review,false,partially_source_supported,not_requested,index
MSK-LABORATORY_FINDINGS-004,Aldolase,source_checked,needs_medical_review,false,partially_source_supported,not_requested,index
MSK-LABORATORY_FINDINGS-005,Rheumatoid factor,source_checked,needs_medical_review,false,partially_source_supported,not_requested,index
MSK-LABORATORY_FINDINGS-006,Anti-cyclic citrullinated peptide antibody,source_checked,needs_medical_review,false,partially_source_supported,not_requested,index
MSK-LABORATORY_FINDINGS-007,Antinuclear antibody,source_checked,needs_medical_review,false,partially_source_supported,not_requested,index
MSK-LABORATORY_FINDINGS-008,Anti-double-stranded DNA antibody,source_checked,needs_medical_review,false,partially_source_supported,not_requested,index
MSK-LABORATORY_FINDINGS-009,Anti-Smith antibody,source_checked,needs_medical_review,false,partially_source_supported,not_requested,index
MSK-LABORATORY_FINDINGS-010,HLA-B27,source_checked,needs_medical_review,false,partially_source_supported,not_requested,index
MSK-LABORATORY_FINDINGS-011,ANCA pattern,source_checked,needs_medical_review,false,partially_source_supported,not_requested,index
MSK-LABORATORY_FINDINGS-012,Complement level,source_checked,needs_medical_review,false,partially_source_supported,not_requested,index
MSK-LABORATORY_FINDINGS-013,Synovial fluid crystals,source_checked,needs_medical_review,false,partially_source_supported,not_requested,index
MSK-LABORATORY_FINDINGS-014,Synovial-fluid leukocyte count,source_checked,needs_medical_review,false,partially_source_supported,not_requested,index
MSK-LABORATORY_FINDINGS-015,Serum urate,source_checked,needs_medical_review,false,partially_source_supported,not_requested,index
MSK-LABORATORY_FINDINGS-016,Blood culture,source_checked,needs_medical_review,false,partially_source_supported,not_requested,index
MSK-LABORATORY_FINDINGS-017,Calcium,source_checked,needs_medical_review,false,partially_source_supported,not_requested,index
MSK-LABORATORY_FINDINGS-018,Phosphate,source_checked,needs_medical_review,false,partially_source_supported,not_requested,index
MSK-LABORATORY_FINDINGS-019,Alkaline phosphatase,source_checked,needs_medical_review,false,partially_source_supported,not_requested,index
MSK-LABORATORY_FINDINGS-020,Parathyroid hormone,source_checked,needs_medical_review,false,partially_source_supported,not_requested,index
MSK-LABORATORY_FINDINGS-021,Vitamin D,source_checked,needs_medical_review,false,partially_source_supported,not_requested,index
MSK-LABORATORY_FINDINGS-022,Serum protein electrophoresis,source_checked,needs_medical_review,false,partially_source_supported,not_requested,index
MSK-LABORATORY_FINDINGS-023,Serum free light chains,source_checked,needs_medical_review,false,partially_source_supported,not_requested,index
MSK-LABORATORY_FINDINGS-024,Myoglobin,source_checked,needs_medical_review,false,partially_source_supported,not_requested,index
MSK-LABORATORY_FINDINGS-025,Urinalysis with heme positivity,source_checked,needs_medical_review,false,partially_source_supported,not_requested,index
