entity_id,name,source_review_status,medical_review_status,deprecated
NEUR-SYM-001,Aphasia with impaired language output,source_checked,needs_medical_review,false
NEUR-SYM-002,Thunderclap headache signaling abrupt vascular concern,source_checked,needs_medical_review,false
NEUR-SYM-003,Ascending symmetric weakness,source_checked,needs_medical_review,false
NEUR-SYM-004,Fatigable ocular weakness,source_checked,needs_medical_review,false
NEUR-SYM-005,Saddle anesthesia,source_checked,needs_medical_review,false
NEUR-SYM-006,Fluctuating inattention,source_checked,needs_medical_review,false
NEUR-SYM-007,Sensory level,source_checked,needs_medical_review,false
NEUR-SYM-008,Unilateral facial weakness,source_checked,needs_medical_review,false
REN-SYMPTOMS-001,Oliguria,source_checked,needs_medical_review,false
REN-SYMPTOMS-002,Anuria,source_checked,needs_medical_review,false
REN-SYMPTOMS-003,Dysuria,source_checked,needs_medical_review,false
REN-SYMPTOMS-004,Urinary retention,source_checked,needs_medical_review,false
REN-SYMPTOMS-005,Foamy urine,source_checked,needs_medical_review,false
REN-SYMPTOMS-006,Flank pain,source_checked,needs_medical_review,false
REN-SYMPTOMS-007,Renal colic,source_checked,needs_medical_review,false
REN-SYMPTOMS-008,Polyuria,source_checked,needs_medical_review,false
REN-SYMPTOMS-009,Nocturia,source_checked,needs_medical_review,false
REN-SYMPTOMS-010,Gross hematuria,source_checked,needs_medical_review,false
