id,name
REF-TEST-001,definition
REF-TEST-002,risk_factor
REF-TEST-003,mechanism
REF-TEST-004,genetics
REF-TEST-005,presentation
REF-TEST-006,classic_clue
REF-TEST-007,physical_finding
REF-TEST-008,laboratory_finding
REF-TEST-009,imaging_finding
REF-TEST-010,pathology_finding
REF-TEST-011,diagnostic_test
REF-TEST-012,next_best_test
REF-TEST-013,first_line_treatment
REF-TEST-014,emergency_management
REF-TEST-015,contraindication
REF-TEST-016,complication
REF-TEST-017,differential_diagnosis
REF-TEST-018,clinical_localization
REF-TEST-019,calculation
REF-TEST-020,ethics
REF-TEST-021,disposition
